Integration Number,Time (s),Max Area Error
0,0.421000,835.442185
1,1.740000,641.383752
2,0.611000,318.218625
3,0.681000,187.177897
4,0.817000,115.607771
5,0.859000,67.049769
6,0.823000,41.950228
7,0.887000,21.601512
8,0.844000,8.580283
9,0.687000,2.170550
10,0.616000,0.698141
11,0.564000,0.668078
12,0.516000,0.609682
13,0.522000,0.532928
14,0.503000,0.432606
15,0.457000,0.353959
16,0.479000,0.275882
17,0.449000,0.219709
18,0.461000,0.165526
19,0.451000,0.129749
20,0.445000,0.098182
21,0.452000,0.075166
22,0.452000,0.057244
23,0.449000,0.043146
24,0.448000,0.033209
25,0.447000,0.025519
26,0.458000,0.019700
27,0.446000,0.015366
28,0.439000,0.011287
29,0.450000,0.008845
