mapname,F4Carto_n_iter,5FCarto_n_defeated,flow_based_n_defeated,F4Carto_min_relative_area_error_reached,5FCarto_max_relative_area_error_at_n,flow_based_max_relative_area_error_at_n,F4Carto_time,5FCarto_time_at_n,flow_based_time_at_n,5FCarto_final_error,flow_based_final_error,5FCarto_total_time,flow_based_total_time
algeria_population_by_wilaya_2022,6,5,6,0.302338,0.180593,0.256362,1.6304,1.021,1.11,0.0091,0.00416,1.1219999999999999,1.1940000000000002
australia_population_by_state_and_territory_2021,3,1,1,0.845114,0.731305,0.736474,0.2021,0.22999999999999998,0.194,0.002302,0.002295,0.4989999999999999,0.3540000000000001
austria_population_by_state_2020,5,1,1,0.438313,0.097948,0.097878,0.2493,0.137,0.112,0.00249,0.007344,0.255,0.159
bahamas_population_by_district_2010,10,4,4,6.27002,5.465355,5.482237,1.7667,0.633,1.1420000000000001,0.008633,0.007179,1.21,2.268
belgium_population_by_region_2022,3,0,0,0.378991,0.354791,0.354472,0.1174,0.058,0.057,9.23e-4,6e-4,0.102,0.09100000000000003
brazil_population_by_state_2021,5,3,3,0.313994,0.11183,0.110145,0.6868,0.471,0.42499999999999993,0.006211,0.009679,0.558,0.498
china_population_by_province_2020,10,2,1,0.975881,0.877868,0.883347,1.5859999999999999,0.5609999999999999,0.34400000000000003,0.003974,0.007254,0.7800000000000001,0.4950000000000001
conterminous_usa_population_by_state_2020,5,2,2,0.437851,0.34639,0.385596,0.5644,0.248,0.2,0.003987,0.003375,0.37899999999999995,0.502
croatia_covid_cases_by_county_2022,4,1,1,0.261069,0.167125,0.168314,0.44510000000000005,0.182,0.169,0.007067,0.007162,0.30500000000000005,0.22200000000000003
croatia_population_by_county_2021,7,1,1,0.293127,0.145453,0.145779,0.7443,0.126,0.116,0.003507,0.003479,0.282,0.182
csv_ne50_antimeridian_minus169_brewer_pop,10,2,2,229.92,180.49954,179.760894,4.5073,0.9480000000000001,0.8089999999999999,0.009661,0.008553,5.218999999999999,3.819
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop,10,1,1,27.2867,21.136152,21.369497,3.7027,0.612,0.542,0.007445,0.007412,4.590000000000001,3.1760000000000006
egypt_population_by_governate_2017,10,8,8,0.697803,0.408962,0.43517,2.1414999999999997,1.082,0.8940000000000002,0.009748,0.005368,1.2750000000000001,0.9960000000000003
england_population_by_region_2022,3,0,0,0.547634,0.292398,0.29221,0.3812,0.076,0.086,0.007955,0.007896,0.20700000000000002,0.258
france_population_by_metropolitan_region_2008,3,0,0,0.478437,0.276173,0.275712,0.30410000000000004,0.166,0.152,0.005036,0.005035,0.26,0.20800000000000002
germany_population_by_state_2011,7,2,2,0.431163,0.279628,0.288548,0.5748,0.217,0.18300000000000002,0.005108,0.005396,0.323,0.23000000000000004
indonesia_population_by_province_2024,7,3,3,0.97834,0.537949,0.539323,0.5109,0.2,0.169,0.005967,0.006264,0.39199999999999996,0.24500000000000005
japan_population_by_prefecture_2020,4,3,3,0.305837,0.229822,0.22898,0.34730000000000005,0.286,0.24000000000000002,0.007198,0.009268,0.5119999999999999,0.3610000000000001
malaysia_population_by_state_2020,7,2,2,0.543689,0.259691,0.265208,0.1942,0.14800000000000002,0.098,0.006604,0.006972,0.226,0.14100000000000001
metropolitan_france_population_by_departement_2022,4,3,3,0.26005,0.126127,0.124687,1.1002,0.35,0.354,0.006773,0.006744,0.49499999999999994,0.49899999999999994
NUTS_population_by_country_2021,10,4,4,0.417461,0.198062,0.197985,1.1555000000000002,0.495,0.17,0.008654,0.009858,1.325,0.41500000000000015
NUTS_population_by_region_2020,10,2,2,16.5015,12.542681,15.672598,2.0586,0.246,0.178,0.006589,0.006873,4.082,3.1370000000000005
russia_population_by_federal_subject_2010,10,5,5,3.30001,3.128841,3.125636,2.5435,0.6799999999999999,0.6030000000000001,0.005216,0.007655,1.3869999999999998,1.0730000000000004
simplified_belgium_population_by_region_2022,3,1,2,0.222895,0.013161,0.090457,0.0588,0.07100000000000001,0.104,0.004343,0.006271,0.11200000000000003,0.12399999999999999
singapore_population_by_planning_area_2015,10,4,5,29.7191,17.447643,24.017988,2.1097000000000006,0.5089999999999999,0.47600000000000003,0.009448,23.125339,2.067,1183.479
switzerland_gdp_in_billion_chf_by_canton_2019,5,2,2,0.339314,0.199853,0.19834,0.6243,0.302,0.248,0.004929,0.004576,0.43799999999999994,0.30700000000000005
switzerland_population_by_canton_2016,6,2,2,0.403295,0.192201,0.192872,0.7555,0.20900000000000002,0.15200000000000002,0.00501,0.005021,0.3350000000000001,0.21000000000000005
tunisia_population_by_governate_2014,4,2,2,0.383624,0.272989,0.279829,0.3274,0.18200000000000002,0.133,0.005773,0.005136,0.31400000000000006,0.18200000000000005
usa_population_by_county_2021,10,5,8,6.91642,5.959641,6.219945,10.8397,1.6540000000000001,1.7810000000000001,0.007217,0.15656,51.53800000000002,303.69399999999985
usa_population_by_state_2020,10,2,2,1.37119,0.850396,0.875665,1.3568,0.35300000000000004,0.311,0.006856,0.007374,0.551,0.45399999999999996
vietnam_population_by_province_2019,3,2,2,0.279383,0.223194,0.227071,0.3382,0.14100000000000001,0.11399999999999999,0.007067,0.007233,0.28900000000000003,0.22399999999999998
world_population_by_country_2010,10,2,2,32.7755,25.96467,25.401049,3.0237,0.7140000000000001,0.716,0.007724,0.006353,3.3520000000000003,2.339
