Integration Number,Time (s),Max Area Error
0,0.146000,0.949769
1,0.186000,0.227478
2,0.156000,0.025833
3,0.154000,0.025833
4,0.155000,0.025833
5,0.159000,0.007075
6,0.161000,0.007075
7,0.169000,0.007075
8,0.631000,0.007075
9,2.412000,0.007075
10,9.822000,0.002639
11,9.622000,0.002639
12,9.646000,0.002639
13,9.594000,0.002639
14,9.555000,0.002639
15,9.795000,0.002639
16,9.719000,0.002639
17,9.740000,0.002639
18,9.775000,0.000987
19,9.541000,0.000987
20,9.602000,0.000987
21,9.627000,0.000987
22,9.566000,0.000987
23,9.562000,0.000987
24,9.811000,0.000987
25,9.577000,0.000987
26,9.576000,0.000987
27,9.651000,0.000987
28,9.669000,0.000987
29,9.629000,0.000987
30,9.651000,0.000987
31,9.577000,0.000987
32,9.641000,0.000987
33,9.592000,0.000987
34,9.709000,0.000987
35,9.734000,0.000987
36,9.614000,0.000987
37,9.651000,0.000987
38,9.634000,0.000987
39,9.642000,0.000362
40,9.721000,0.000362
41,9.631000,0.000362
42,9.536000,0.000362
43,9.808000,0.000362
44,9.659000,0.000362
45,9.506000,0.000362
46,9.686000,0.000362
47,9.681000,0.000362
48,9.640000,0.000362
49,9.636000,0.000362
50,9.551000,0.000362
51,9.650000,0.000362
52,9.658000,0.000362
53,9.634000,0.000362
54,9.580000,0.000362
55,9.646000,0.000362
56,9.499000,0.000362
57,9.654000,0.000362
58,9.630000,0.000362
59,9.662000,0.000362
60,9.613000,0.000362
61,9.679000,0.000362
62,9.764000,0.000362
63,9.601000,0.000362
64,9.591000,0.000362
65,9.642000,0.000362
66,9.755000,0.000362
67,9.827000,0.000362
68,9.677000,0.000362
69,9.631000,0.000362
70,9.541000,0.000362
71,9.664000,0.000362
72,9.501000,0.000362
73,9.668000,0.000362
74,9.677000,0.000362
75,9.557000,0.000362
76,9.673000,0.000362
77,9.509000,0.000362
78,9.568000,0.000362
79,9.531000,0.000362
80,9.640000,0.000362
81,9.569000,0.000362
82,9.637000,0.000362
83,9.751000,0.000362
84,9.830000,0.000362
85,9.483000,0.000362
86,9.466000,0.000362
87,9.505000,0.000362
88,9.454000,0.000362
89,9.428000,0.000362
90,9.508000,0.000362
91,9.440000,0.000362
92,9.480000,0.000362
93,9.652000,0.000362
94,9.510000,0.000362
95,9.555000,0.000362
96,9.843000,0.000362
97,9.936000,0.000362
98,9.518000,0.000362
99,9.778000,0.000362
