Integration Number,Time (s),Max Area Error
0,0.441000,159.455633
1,2.195000,70.470817
2,0.636000,30.693116
3,0.732000,14.645099
4,1.003000,8.279852
5,1.080000,4.514766
6,1.058000,2.443539
7,1.056000,1.427968
8,0.951000,0.835999
9,0.720000,0.820712
10,0.617000,0.800285
11,0.624000,0.760341
12,0.531000,0.702676
13,0.501000,0.625367
14,0.534000,0.536371
15,0.492000,0.450033
16,0.504000,0.360403
17,0.491000,0.289037
18,0.521000,0.223664
19,0.528000,0.175407
20,0.479000,0.132637
21,0.473000,0.102917
22,0.550000,0.079421
23,0.533000,0.060492
24,0.507000,0.047021
25,0.507000,0.036298
26,0.479000,0.028002
27,0.505000,0.021757
28,0.480000,0.017161
29,0.510000,0.013614
30,0.550000,0.010927
31,0.507000,0.008753
32,0.470000,0.007159
33,0.507000,0.006037
34,0.491000,0.005429
35,0.486000,0.004886
36,0.504000,0.004398
37,0.489000,0.003960
38,0.508000,0.003961
39,0.490000,0.003742
40,0.487000,0.003741
41,0.474000,0.003745
42,1.786000,0.002477
43,1.752000,0.001933
44,1.741000,0.001941
45,1.839000,0.001634
46,1.773000,0.001633
47,1.855000,0.001635
48,7.426000,0.001415
49,6.989000,0.001417
50,7.402000,0.001349
51,7.461000,0.001341
52,7.484000,0.001331
53,7.550000,0.001323
54,7.467000,0.001314
55,7.538000,0.001306
56,7.205000,0.001297
57,7.206000,0.001289
58,7.329000,0.001281
59,7.475000,0.001280
60,7.253000,0.001284
61,7.284000,0.001256
62,6.927000,0.001248
63,7.431000,0.001240
64,7.397000,0.001232
65,7.368000,0.001228
66,7.541000,0.001216
67,7.310000,0.001212
68,7.540000,0.001204
69,7.450000,0.001197
70,7.284000,0.001189
71,7.438000,0.001181
72,7.109000,0.001173
73,7.778000,0.001166
74,7.199000,0.001159
75,7.649000,0.001151
76,7.640000,0.001144
77,7.523000,0.001136
78,7.388000,0.001137
79,7.364000,0.001131
80,7.588000,0.001130
81,7.138000,0.001124
82,7.384000,0.001123
83,7.436000,0.001117
84,7.432000,0.001117
85,7.397000,0.001116
86,7.245000,0.001109
87,7.227000,0.001110
88,7.365000,0.001104
89,8.052000,0.001101
90,7.042000,0.001100
91,7.470000,0.001098
92,6.989000,0.001096
93,8.094000,0.001094
94,7.055000,0.001092
95,7.446000,0.001090
96,7.370000,0.001088
97,7.449000,0.001086
98,7.217000,0.001085
99,7.314000,0.001083
