Integration Number,Time (s),Max Area Error
0,0.007000,31.520786
1,0.074000,21.081940
2,0.117000,1.999827
3,0.044000,0.543845
4,0.021000,0.241183
5,0.014000,0.088192
6,0.010000,0.029716
7,0.010000,0.012463
8,0.009000,0.008958
9,0.007000,0.008827
10,0.008000,0.006079
11,0.007000,0.005332
12,0.007000,0.004522
13,0.007000,0.004303
14,0.006000,0.004116
15,0.007000,0.003938
16,0.008000,0.002971
17,0.008000,0.002829
18,0.008000,0.001972
19,0.006000,0.001972
20,0.008000,0.001972
21,0.026000,0.001972
22,0.091000,0.001922
23,0.088000,0.001915
24,0.090000,0.001716
25,0.089000,0.001672
26,0.087000,0.001672
27,0.099000,0.001672
28,0.354000,0.001639
29,0.345000,0.001484
30,0.341000,0.001484
31,0.342000,0.001484
32,0.341000,0.001484
33,0.347000,0.001459
34,0.344000,0.001439
35,0.341000,0.001421
36,0.345000,0.001366
37,0.342000,0.001346
38,0.339000,0.001330
39,0.342000,0.001314
40,0.338000,0.001300
41,0.338000,0.001287
42,0.337000,0.001274
43,0.344000,0.001282
44,0.342000,0.001232
45,0.341000,0.001214
46,0.355000,0.001200
47,0.360000,0.001187
48,0.353000,0.001173
49,0.345000,0.001161
50,0.344000,0.001150
51,0.354000,0.001139
52,0.358000,0.001128
53,0.410000,0.001118
54,0.354000,0.001107
55,0.346000,0.001097
56,0.353000,0.001086
57,0.352000,0.001076
58,0.349000,0.001067
59,0.345000,0.001034
60,0.341000,0.001022
61,0.342000,0.001014
62,0.345000,0.001006
63,0.341000,0.000998
64,0.342000,0.000990
65,0.343000,0.000982
66,0.341000,0.000974
67,0.345000,0.000966
68,0.342000,0.000959
69,0.342000,0.000951
70,0.341000,0.000944
71,0.343000,0.000936
72,0.349000,0.000930
73,0.342000,0.000923
74,0.341000,0.000916
75,0.342000,0.000909
76,0.340000,0.000902
77,0.342000,0.000896
78,0.342000,0.000889
79,0.343000,0.000883
80,0.346000,0.000877
81,0.342000,0.000870
82,0.341000,0.000864
83,0.342000,0.000858
84,0.344000,0.000852
85,0.342000,0.000846
86,0.342000,0.000840
87,0.341000,0.000835
88,0.341000,0.000829
89,0.344000,0.000823
90,0.339000,0.000817
91,0.341000,0.000812
92,0.344000,0.000806
93,0.344000,0.000801
94,0.346000,0.000795
95,0.354000,0.000790
96,0.407000,0.000785
97,0.346000,0.000779
98,0.340000,0.000774
99,0.339000,0.000769
