Integration Number,Time (s),Max Area Error
0,0.024000,4.073224
1,0.076000,3.056313
2,0.077000,0.935738
3,0.052000,0.316770
4,0.041000,0.103167
5,0.038000,0.058606
6,0.035000,0.027405
7,0.031000,0.024785
8,0.031000,0.012784
9,0.029000,0.011459
10,0.030000,0.006959
11,0.027000,0.006759
12,0.030000,0.004337
13,0.027000,0.003889
14,0.029000,0.003092
15,0.026000,0.003087
16,0.030000,0.002691
17,0.027000,0.002405
18,0.028000,0.002526
19,0.028000,0.001984
20,0.028000,0.001796
21,0.029000,0.001585
22,0.026000,0.001553
23,0.030000,0.001628
24,0.077000,0.001424
25,0.069000,0.001424
26,0.070000,0.001392
27,0.070000,0.001371
28,0.071000,0.001356
29,0.071000,0.001352
30,0.072000,0.001313
31,0.071000,0.001289
32,0.071000,0.001274
33,0.074000,0.001256
34,0.071000,0.001224
35,0.072000,0.001189
36,0.072000,0.001154
37,0.072000,0.001113
38,0.072000,0.001083
39,0.071000,0.001061
40,0.075000,0.001049
41,0.072000,0.001030
42,0.073000,0.000998
43,0.070000,0.000989
44,0.070000,0.000981
45,0.073000,0.000988
46,0.070000,0.000972
47,0.070000,0.000961
48,0.071000,0.000953
49,0.072000,0.000947
50,0.070000,0.000942
51,0.071000,0.000937
52,0.071000,0.000933
53,0.073000,0.000694
54,0.069000,0.000694
55,0.075000,0.000694
56,0.262000,0.000694
57,0.953000,0.000694
58,0.934000,0.000694
59,0.935000,0.000694
60,0.930000,0.000694
61,0.934000,0.000694
62,0.939000,0.000694
63,0.936000,0.000694
64,0.929000,0.000694
65,0.930000,0.000694
66,0.939000,0.000694
67,1.014000,0.000694
68,0.935000,0.000693
69,0.944000,0.000693
70,0.940000,0.000693
71,0.943000,0.000693
72,0.949000,0.000573
73,0.934000,0.000573
74,0.931000,0.000573
75,0.944000,0.000573
76,0.931000,0.000573
77,0.940000,0.000573
78,0.924000,0.000573
79,0.932000,0.000573
80,0.930000,0.000573
81,0.931000,0.000573
82,0.942000,0.000573
83,1.011000,0.000573
84,0.938000,0.000573
85,0.946000,0.000573
86,0.932000,0.000573
87,0.933000,0.000573
88,0.928000,0.000573
89,0.935000,0.000573
90,0.936000,0.000573
91,0.927000,0.000573
92,0.928000,0.000573
93,0.931000,0.000573
94,0.940000,0.000581
95,0.941000,0.000574
96,0.954000,0.000563
97,0.948000,0.000568
98,0.967000,0.000573
99,1.020000,0.000576
