Integration Number,Time (s),Max Area Error
0,0.163000,17.137050
1,0.210000,7.004312
2,0.251000,0.695063
3,0.228000,0.506619
4,0.208000,0.318992
5,0.202000,0.131601
6,0.202000,0.051402
7,0.200000,0.018355
8,0.220000,0.007908
9,0.218000,0.007024
10,0.212000,0.006990
11,0.219000,0.007068
12,0.765000,0.005165
13,0.810000,0.005285
14,0.901000,0.005261
15,0.787000,0.003728
16,0.787000,0.003704
17,0.803000,0.003723
18,0.831000,0.003728
19,3.401000,0.002498
20,3.358000,0.002385
21,3.303000,0.002397
22,3.290000,0.002406
23,14.891000,0.002418
24,14.622000,0.002429
25,14.696000,0.001576
26,13.367000,0.001589
27,13.787000,0.001596
28,12.973000,0.001603
29,12.313000,0.001611
30,12.832000,0.001620
31,13.303000,0.001628
32,12.661000,0.001637
33,13.167000,0.001645
34,12.940000,0.001663
35,12.955000,0.001663
36,12.853000,0.001667
37,13.497000,0.001031
38,13.038000,0.001031
39,12.560000,0.001033
40,12.751000,0.001033
41,13.504000,0.001034
42,13.119000,0.001037
43,13.089000,0.001037
44,13.153000,0.001039
45,12.972000,0.001042
46,12.412000,0.001042
47,12.426000,0.001045
48,12.678000,0.001048
49,12.172000,0.001048
50,13.848000,0.001051
51,13.681000,0.001051
52,13.043000,0.001054
53,12.504000,0.001054
54,13.083000,0.001057
55,12.930000,0.001057
56,13.231000,0.001060
57,13.169000,0.001059
58,13.340000,0.001055
59,13.190000,0.001054
60,12.937000,0.001057
61,12.157000,0.001059
62,12.706000,0.001060
63,12.975000,0.001062
64,12.427000,0.001061
65,12.538000,0.001063
66,12.487000,0.001064
67,12.327000,0.001065
68,12.669000,0.001066
69,12.487000,0.001067
70,12.233000,0.001066
71,12.065000,0.001067
72,13.060000,0.001068
73,13.681000,0.001069
74,13.177000,0.001069
75,12.864000,0.001070
76,12.311000,0.001070
77,12.751000,0.001071
78,13.007000,0.001071
79,13.590000,0.001070
80,12.962000,0.001071
81,12.967000,0.001071
82,13.407000,0.001071
83,13.490000,0.001071
84,12.668000,0.001071
85,13.383000,0.001071
86,13.118000,0.001070
87,12.897000,0.001070
88,13.092000,0.001070
89,13.389000,0.001070
90,13.544000,0.001069
91,13.064000,0.001069
92,12.549000,0.001069
93,13.309000,0.001068
94,12.547000,0.001068
95,11.884000,0.001068
96,12.257000,0.001068
97,12.919000,0.001067
98,13.122000,0.001067
99,12.593000,0.001066
