Integration Number,Time (s),Max Area Error
0,0.072000,0.977033
1,0.184000,0.618034
2,0.125000,0.158265
3,0.081000,0.040339
4,0.074000,0.031164
5,0.076000,0.021969
6,0.075000,0.008982
7,0.073000,0.008982
8,0.078000,0.008982
9,0.301000,0.008982
10,1.117000,0.005258
11,1.093000,0.005258
12,1.064000,0.005258
13,4.190000,0.003828
14,4.277000,0.003828
15,4.255000,0.002886
16,4.458000,0.002886
17,4.227000,0.002151
18,4.209000,0.002151
19,4.424000,0.002151
20,4.304000,0.001642
21,4.169000,0.001642
22,4.221000,0.001642
23,4.275000,0.001346
24,4.147000,0.001346
25,4.199000,0.001304
26,4.312000,0.000978
27,4.229000,0.000978
28,4.176000,0.000978
29,4.438000,0.000978
30,4.374000,0.000978
31,4.291000,0.000978
32,4.291000,0.000978
33,4.300000,0.000846
34,4.332000,0.000846
35,4.360000,0.000846
36,4.275000,0.000846
37,4.542000,0.000846
38,4.307000,0.000846
39,4.270000,0.000739
40,4.227000,0.000739
41,4.151000,0.000739
42,4.257000,0.000739
43,4.249000,0.000739
44,4.414000,0.000739
45,4.329000,0.000739
46,4.300000,0.000739
47,4.349000,0.000739
48,4.362000,0.000778
49,4.276000,0.000778
50,4.248000,0.000778
51,4.360000,0.000778
52,4.276000,0.000778
53,4.247000,0.000778
54,4.318000,0.000778
55,4.293000,0.000778
56,4.298000,0.000778
57,4.245000,0.000778
58,4.228000,0.000640
59,4.280000,0.000640
60,4.396000,0.000640
61,4.466000,0.000640
62,4.262000,0.000640
63,4.362000,0.000640
64,4.205000,0.000640
65,4.268000,0.000640
66,4.224000,0.000640
67,4.237000,0.000640
68,4.270000,0.000640
69,4.216000,0.000640
70,4.214000,0.000640
71,4.222000,0.000640
72,4.214000,0.000640
73,4.171000,0.000640
74,4.274000,0.000640
75,4.263000,0.000640
76,4.268000,0.000640
77,4.186000,0.000640
78,4.199000,0.000640
79,4.393000,0.000640
80,4.157000,0.000640
81,4.156000,0.000640
82,4.185000,0.000640
83,4.215000,0.000640
84,4.198000,0.000640
85,4.313000,0.000640
86,4.277000,0.000640
87,4.319000,0.000640
88,4.189000,0.000640
89,4.195000,0.000640
90,4.261000,0.000640
91,4.236000,0.000640
92,4.187000,0.000640
93,4.248000,0.000640
94,4.186000,0.000640
95,4.245000,0.000640
96,4.236000,0.000640
97,4.243000,0.000640
98,4.201000,0.000640
99,4.216000,0.000640
