Integration Number,Time (s),Max Area Error
0,0.125000,50.389647
1,0.332000,44.610422
2,0.218000,16.299666
3,0.263000,11.376321
4,0.275000,6.276324
5,0.229000,4.056680
6,0.208000,1.206152
7,0.195000,0.501262
8,0.175000,0.161851
9,0.141000,0.052364
10,0.132000,0.015626
11,0.126000,0.007696
12,0.122000,0.005514
13,0.127000,0.004896
14,0.130000,0.004404
15,0.117000,0.004284
16,0.126000,0.004294
17,0.128000,0.004253
18,0.122000,0.002959
19,0.119000,0.002885
20,0.123000,0.002796
21,0.125000,0.002497
22,0.133000,0.002467
23,0.130000,0.002437
24,0.133000,0.002306
25,0.120000,0.002240
26,0.119000,0.002167
27,0.126000,0.002104
28,0.131000,0.002035
29,0.126000,0.001960
30,0.129000,0.001899
31,0.129000,0.001837
32,0.128000,0.001781
33,0.123000,0.001723
34,0.119000,0.001673
35,0.121000,0.001621
36,0.123000,0.001568
37,0.123000,0.001519
38,0.121000,0.001472
39,0.136000,0.001428
40,0.123000,0.001378
41,0.119000,0.001335
42,0.125000,0.001296
43,0.126000,0.001257
44,0.124000,0.001219
45,0.123000,0.001183
46,0.131000,0.001148
47,0.121000,0.001115
48,0.125000,0.001084
49,0.119000,0.001082
50,0.119000,0.000975
51,0.122000,0.000963
52,0.121000,0.000959
53,0.124000,0.000958
54,0.123000,0.000950
55,0.126000,0.000952
56,0.130000,0.000951
57,0.119000,0.000952
58,0.243000,0.000950
59,0.257000,0.000948
60,0.248000,0.000946
61,0.257000,0.000945
62,0.246000,0.000889
63,0.239000,0.000888
64,0.247000,0.000883
65,0.258000,0.000883
66,0.241000,0.000882
67,0.239000,0.000879
68,0.257000,0.000879
69,0.264000,0.000878
70,0.854000,0.000878
71,3.099000,0.000859
72,3.216000,0.000857
73,3.046000,0.000857
74,2.861000,0.000855
75,3.014000,0.000839
76,2.981000,0.000838
77,3.080000,0.000838
78,2.892000,0.000838
79,2.825000,0.000823
80,2.852000,0.000824
81,2.905000,0.000828
82,2.882000,0.000829
83,2.920000,0.000832
84,2.851000,0.000836
85,2.914000,0.000839
86,2.825000,0.000838
87,2.726000,0.000841
88,3.021000,0.000844
89,2.876000,0.000846
90,2.821000,0.000845
91,2.858000,0.000847
92,2.737000,0.000849
93,3.051000,0.000851
94,2.861000,0.000849
95,2.878000,0.000800
96,2.811000,0.000801
97,2.964000,0.000800
98,2.922000,0.000802
99,2.932000,0.000801
