Integration Number,Time (s),Max Area Error
0,0.204000,46.595295
1,0.805000,12.965772
2,0.326000,2.755764
3,0.294000,0.945955
4,0.284000,0.795597
5,0.257000,0.641475
6,0.273000,0.322922
7,0.262000,0.127121
8,0.230000,0.009774
9,0.228000,0.009757
10,0.234000,0.009633
11,0.231000,0.005910
12,0.239000,0.003853
13,0.231000,0.003853
14,0.226000,0.003596
15,0.232000,0.002992
16,0.226000,0.002897
17,0.228000,0.002800
18,0.228000,0.002363
19,0.229000,0.002262
20,0.229000,0.002226
21,0.226000,0.002176
22,0.233000,0.001854
23,0.223000,0.001721
24,0.228000,0.001635
25,0.224000,0.001588
26,0.235000,0.001550
27,0.226000,0.001485
28,0.232000,0.001412
29,0.236000,0.001210
30,0.226000,0.001248
31,0.226000,0.001274
32,0.860000,0.001292
33,3.586000,0.001467
34,14.534000,0.001383
35,14.392000,0.001339
36,14.662000,0.001304
37,15.027000,0.001274
38,15.186000,0.001246
39,14.550000,0.001220
40,14.938000,0.001228
41,14.328000,0.001186
42,14.693000,0.001152
43,14.635000,0.001119
44,14.251000,0.001087
45,14.799000,0.001056
46,14.835000,0.001027
47,14.326000,0.000998
48,14.564000,0.000965
49,14.032000,0.000937
50,13.523000,0.000907
51,13.483000,0.000890
52,13.622000,0.000877
53,13.672000,0.000844
54,13.691000,0.000823
55,13.908000,0.000796
56,13.749000,0.000780
57,14.060000,0.000756
58,13.774000,0.000756
59,13.902000,0.000745
60,13.980000,0.000749
61,14.116000,0.000742
62,13.770000,0.000737
63,13.735000,0.000737
64,13.844000,0.000733
65,13.708000,0.000731
66,13.788000,0.000731
67,13.875000,0.000729
68,13.649000,0.000729
69,13.646000,0.000729
70,13.956000,0.000729
71,13.958000,0.000678
72,13.875000,0.000672
73,13.763000,0.000665
74,13.814000,0.000661
75,13.727000,0.000659
76,13.852000,0.000656
77,13.811000,0.000654
78,13.777000,0.000654
79,13.860000,0.000655
80,13.774000,0.000655
81,13.864000,0.000654
82,13.835000,0.000655
83,14.426000,0.000651
84,14.051000,0.000613
85,14.069000,0.000607
86,13.776000,0.000603
87,13.874000,0.000610
88,13.834000,0.000607
89,13.955000,0.000605
90,13.889000,0.000604
91,14.160000,0.000604
92,14.084000,0.000605
93,13.719000,0.000606
94,14.234000,0.000616
95,13.948000,0.000615
96,13.668000,0.000616
97,13.623000,0.000616
98,13.768000,0.000618
99,13.766000,0.000619
