Integration Number,Time (s),Max Area Error
0,0.074000,17.509811
1,0.154000,4.798120
2,0.151000,0.634109
3,0.110000,0.238784
4,0.101000,0.088438
5,0.100000,0.026932
6,0.097000,0.015506
7,0.095000,0.008444
8,0.093000,0.008509
9,0.097000,0.009747
10,0.351000,0.005525
11,0.344000,0.005444
12,0.338000,0.005235
13,0.336000,0.005034
14,0.339000,0.003691
15,0.333000,0.003298
16,0.341000,0.003162
17,0.348000,0.003055
18,0.342000,0.003032
19,0.342000,0.002927
20,0.337000,0.002753
21,0.339000,0.001214
22,0.338000,0.001214
23,0.344000,0.001214
24,1.310000,0.001214
25,5.178000,0.001214
26,5.128000,0.001214
27,5.090000,0.001214
28,5.093000,0.001214
29,5.175000,0.001214
30,5.180000,0.001214
31,5.176000,0.000857
32,5.131000,0.000857
33,5.147000,0.000857
34,5.088000,0.000857
35,5.169000,0.000857
36,5.100000,0.000857
37,5.110000,0.000857
38,5.130000,0.000857
39,5.096000,0.000857
40,5.088000,0.000874
41,5.185000,0.000884
42,5.117000,0.000892
43,5.145000,0.000894
44,5.154000,0.000893
45,5.146000,0.000892
46,5.112000,0.000891
47,5.166000,0.000889
48,5.114000,0.000888
49,5.150000,0.000887
50,5.107000,0.000886
51,5.125000,0.000885
52,5.109000,0.000884
53,5.030000,0.000883
54,4.997000,0.000883
55,5.031000,0.000882
56,5.054000,0.000882
57,4.988000,0.000882
58,5.046000,0.000882
59,5.047000,0.000882
60,5.013000,0.000882
61,5.026000,0.000882
62,5.345000,0.000882
63,5.344000,0.000882
64,5.265000,0.000881
65,5.292000,0.000881
66,5.085000,0.000881
67,5.041000,0.000810
68,5.002000,0.000816
69,5.036000,0.000819
70,5.158000,0.000821
71,5.169000,0.000821
72,5.104000,0.000822
73,5.129000,0.000822
74,5.024000,0.000822
75,5.049000,0.000733
76,5.147000,0.000734
77,5.193000,0.000734
78,5.031000,0.000735
79,5.231000,0.000735
80,5.071000,0.000735
81,5.040000,0.000735
82,5.132000,0.000735
83,5.126000,0.000735
84,5.067000,0.000735
85,5.160000,0.000735
86,5.039000,0.000735
87,5.030000,0.000735
88,5.166000,0.000735
89,5.107000,0.000735
90,5.135000,0.000735
91,5.304000,0.000734
92,5.120000,0.000734
93,5.090000,0.000734
94,5.088000,0.000734
95,5.013000,0.000734
96,5.092000,0.000734
97,5.138000,0.000734
98,5.118000,0.000734
99,5.115000,0.000733
