Integration Number,Time (s),Max Area Error
0,0.024000,4.073224
1,0.059000,2.824791
2,0.072000,0.924271
3,0.049000,0.320951
4,0.036000,0.100631
5,0.035000,0.050408
6,0.031000,0.023986
7,0.029000,0.019205
8,0.030000,0.010651
9,0.029000,0.009536
10,0.028000,0.006065
11,0.028000,0.006261
12,0.027000,0.004442
13,0.028000,0.004221
14,0.028000,0.003663
15,0.027000,0.003510
16,0.029000,0.003033
17,0.027000,0.002885
18,0.027000,0.002404
19,0.027000,0.002300
20,0.027000,0.002195
21,0.026000,0.001912
22,0.028000,0.001678
23,0.026000,0.001737
24,0.027000,0.001593
25,0.027000,0.001641
26,0.027000,0.001484
27,0.026000,0.001409
28,0.027000,0.001301
29,0.025000,0.001310
30,0.029000,0.001323
31,0.077000,0.001091
32,0.075000,0.001162
33,0.084000,0.001227
34,0.378000,0.000997
35,0.332000,0.000997
36,0.267000,0.000980
37,0.253000,0.000965
38,0.246000,0.000954
39,0.250000,0.000946
40,0.247000,0.000940
41,0.253000,0.000847
42,0.255000,0.000828
43,0.261000,0.000814
44,0.251000,0.000802
45,0.257000,0.000792
46,0.261000,0.000797
47,0.252000,0.000788
48,0.263000,0.000774
49,0.250000,0.000778
50,0.273000,0.000782
51,1.001000,0.000785
52,0.991000,0.000788
53,0.966000,0.000791
54,0.998000,0.000802
55,0.971000,0.000803
56,0.986000,0.000615
57,0.983000,0.000615
58,0.960000,0.000615
59,0.976000,0.000615
60,0.967000,0.000615
61,0.968000,0.000615
62,0.967000,0.000615
63,0.959000,0.000615
64,0.966000,0.000615
65,0.962000,0.000615
66,0.955000,0.000615
67,0.965000,0.000615
68,0.965000,0.000615
69,0.959000,0.000615
70,0.959000,0.000615
71,0.957000,0.000615
72,0.983000,0.000615
73,0.972000,0.000614
74,0.999000,0.000613
75,0.975000,0.000612
76,0.985000,0.000611
77,1.126000,0.000610
78,0.982000,0.000609
79,0.974000,0.000609
80,1.049000,0.000608
81,1.031000,0.000607
82,1.058000,0.000607
83,0.993000,0.000606
84,1.021000,0.000605
85,0.996000,0.000616
86,1.026000,0.000622
87,1.045000,0.000625
88,1.002000,0.000627
89,1.036000,0.000629
90,0.985000,0.000629
91,0.987000,0.000630
92,1.059000,0.000630
93,0.969000,0.000630
94,0.977000,0.000630
95,1.028000,0.000631
96,0.995000,0.000629
97,1.023000,0.000628
98,1.012000,0.000628
99,0.982000,0.000628
