Integration Number,Time (s),Max Area Error
0,0.067000,8.463980
1,0.296000,3.734748
2,0.161000,0.927955
3,0.093000,0.421928
4,0.086000,0.173527
5,0.081000,0.082023
6,0.080000,0.031321
7,0.071000,0.012861
8,0.072000,0.010610
9,0.073000,0.007373
10,0.073000,0.006979
11,0.073000,0.005336
12,0.072000,0.005369
13,0.072000,0.005170
14,0.072000,0.003736
15,0.074000,0.002808
16,0.072000,0.002808
17,0.073000,0.002997
18,0.262000,0.002467
19,0.256000,0.002515
20,0.257000,0.002160
21,0.293000,0.002214
22,0.264000,0.002251
23,1.051000,0.001449
24,0.999000,0.001457
25,1.146000,0.001418
26,0.997000,0.001246
27,0.998000,0.001255
28,1.013000,0.001327
29,4.013000,0.001042
30,3.948000,0.001042
31,3.980000,0.001026
32,4.001000,0.001026
33,4.008000,0.001011
34,3.996000,0.001011
35,3.993000,0.001008
36,3.987000,0.000702
37,4.013000,0.000702
38,3.943000,0.000702
39,4.164000,0.000702
40,3.959000,0.000702
41,3.979000,0.000702
42,3.988000,0.000702
43,3.979000,0.000702
44,3.985000,0.000702
45,3.962000,0.000702
46,4.016000,0.000702
47,3.973000,0.000702
48,3.946000,0.000702
49,4.048000,0.000702
50,4.053000,0.000702
51,3.951000,0.000706
52,3.977000,0.000708
53,3.981000,0.000709
54,4.056000,0.000709
55,4.065000,0.000709
56,4.016000,0.000708
57,3.945000,0.000706
58,4.131000,0.000705
59,3.962000,0.000703
60,4.011000,0.000701
61,3.984000,0.000699
62,3.991000,0.000698
63,4.121000,0.000696
64,3.998000,0.000694
65,4.068000,0.000692
66,3.944000,0.000690
67,3.978000,0.000689
68,4.096000,0.000687
69,4.002000,0.000685
70,4.003000,0.000684
71,3.972000,0.000683
72,3.968000,0.000682
73,4.101000,0.000681
74,4.002000,0.000680
75,4.047000,0.000680
76,3.999000,0.000679
77,3.996000,0.000678
78,3.961000,0.000678
79,4.003000,0.000677
80,4.083000,0.000677
81,4.005000,0.000676
82,3.981000,0.000675
83,3.981000,0.000675
84,4.037000,0.000675
85,3.965000,0.000674
86,3.977000,0.000674
87,3.937000,0.000674
88,4.020000,0.000674
89,3.949000,0.000673
90,3.955000,0.000673
91,4.102000,0.000672
92,3.942000,0.000671
93,3.945000,0.000670
94,3.952000,0.000669
95,3.976000,0.000668
96,3.958000,0.000667
97,4.010000,0.000666
98,4.163000,0.000665
99,4.077000,0.000664
