Integration Number,Time (s),Max Area Error
0,0.037000,41.285464
1,0.279000,46.206070
2,0.393000,18.143453
3,0.505000,18.301030
4,0.433000,14.605100
5,0.551000,9.958790
6,0.503000,8.316006
7,0.359000,8.155867
8,0.387000,6.219945
9,0.386000,4.929385
10,0.308000,2.542810
11,0.332000,4.362372
12,2.322000,2.771992
13,0.417000,4.123445
14,1.087000,1.894178
15,0.289000,2.284706
16,1.669000,1.875782
17,0.811000,1.892097
18,0.073000,1.889451
19,0.088000,1.888217
20,0.129000,1.887112
21,0.734000,1.894873
22,0.900000,2.081309
23,4.248000,2.537949
24,34.704000,3.439567
25,49.496000,4.229521
26,44.891000,3.965711
27,100.454000,3.808270
28,13.040000,3.632129
29,23.266000,3.274409
30,85.422000,2.934708
31,70.999000,2.383207
32,59.221000,1.771789
33,50.657000,1.674174
34,31.111000,0.869401
35,14.105000,0.578515
36,9.123000,0.421472
37,5.702000,0.365334
38,4.079000,0.306138
39,3.149000,0.249407
40,2.474000,0.202988
41,2.096000,0.157840
42,1.887000,0.128358
43,1.737000,0.105604
44,1.645000,0.087451
45,1.611000,0.073223
46,1.554000,0.061086
47,1.545000,0.054025
48,1.522000,0.048363
49,1.512000,0.043682
50,1.538000,0.037141
51,1.556000,0.031879
52,1.553000,0.027209
53,1.519000,0.028000
54,1.502000,0.031107
55,1.486000,0.032477
56,1.480000,0.036270
57,1.556000,0.037516
58,1.476000,0.042336
59,1.456000,0.043460
60,1.470000,0.049227
61,1.459000,0.050156
62,1.445000,0.057231
63,1.458000,0.058721
64,1.447000,0.067883
65,1.452000,0.068740
66,1.481000,0.080368
67,1.464000,0.080263
68,1.507000,0.094740
69,1.465000,0.092788
70,1.473000,0.110904
71,1.480000,0.106487
72,1.466000,0.129324
73,1.472000,0.121745
74,1.470000,0.151095
75,1.477000,0.137415
76,1.486000,0.175457
77,1.506000,0.150934
78,1.524000,0.196276
79,1.474000,0.163224
80,1.513000,0.216442
81,1.498000,0.174754
82,1.493000,0.236056
83,1.528000,0.186451
84,1.488000,0.256744
85,1.506000,0.111806
86,1.472000,0.142531
87,1.486000,0.128461
88,1.548000,0.168676
89,1.485000,0.146444
90,1.470000,0.198056
91,1.498000,0.165177
92,1.486000,0.228533
93,1.488000,0.182945
94,1.534000,0.257172
95,1.512000,0.115954
96,1.479000,0.150717
97,1.478000,0.135759
98,1.520000,0.182497
99,1.514000,0.158095
