Integration Number,Time (s),Max Area Error
0,0.015000,105.523953
1,0.039000,65.247358
2,0.059000,21.411870
3,0.068000,6.138218
4,0.054000,2.241212
5,0.048000,1.596371
6,0.045000,1.371398
7,0.047000,1.239105
8,0.046000,1.016518
9,0.044000,1.117446
10,0.045000,0.904448
11,0.040000,1.008460
12,0.040000,0.807174
13,0.044000,1.032934
14,0.103000,0.630558
15,0.087000,0.661846
16,0.085000,0.482803
17,0.084000,0.411121
18,0.084000,0.321267
19,0.078000,0.340239
20,0.078000,0.240041
21,0.069000,0.307578
22,0.071000,0.214905
23,0.071000,0.298965
24,0.070000,0.205063
25,0.066000,0.221441
26,0.064000,0.190300
27,0.067000,0.171412
28,0.065000,0.156401
29,0.066000,0.130111
30,0.061000,0.130083
31,0.061000,0.103019
32,0.061000,0.107756
33,0.059000,0.081158
34,0.057000,0.092933
35,0.056000,0.064838
36,0.055000,0.075966
37,0.051000,0.054231
38,0.055000,0.063169
39,0.056000,0.046531
40,0.055000,0.053634
41,0.055000,0.040468
42,0.056000,0.046142
43,0.055000,0.035017
44,0.052000,0.039668
45,0.061000,0.030279
46,0.052000,0.034179
47,0.053000,0.026252
48,0.052000,0.029548
49,0.052000,0.022817
50,0.052000,0.025511
51,0.053000,0.019797
52,0.051000,0.022078
53,0.047000,0.017235
54,0.050000,0.019149
55,0.050000,0.015033
56,0.047000,0.016662
57,0.049000,0.013163
58,0.047000,0.014560
59,0.048000,0.011611
60,0.048000,0.012773
61,0.046000,0.010191
62,0.049000,0.011187
63,0.047000,0.008951
