Integration Number,Time (s),Max Area Error
0,0.013000,856.363945
1,0.109000,389.256416
2,0.062000,170.652243
3,0.119000,98.053617
4,0.113000,55.768421
5,0.084000,32.908765
6,0.072000,17.659353
7,0.123000,13.447287
8,0.068000,9.568892
9,0.180000,8.768591
10,0.077000,6.745569
11,0.059000,5.914739
12,0.066000,5.229798
13,0.140000,4.919826
14,0.202000,4.775657
15,0.064000,4.567448
16,0.082000,4.079698
17,0.261000,5.088454
18,0.587000,3.981481
19,0.128000,3.962674
20,0.139000,3.791993
21,0.167000,3.535312
22,0.206000,3.214271
23,0.518000,3.223490
24,0.167000,3.053314
25,0.172000,2.770521
26,0.275000,2.407322
27,0.206000,2.918531
28,0.541000,2.896221
29,0.792000,2.859191
30,0.821000,2.825922
31,0.558000,2.718805
32,0.643000,2.522423
33,0.659000,2.756866
34,1.852000,1.929805
35,1.266000,1.464605
36,1.246000,1.106041
37,1.129000,0.879446
38,1.113000,0.706650
39,1.072000,0.568400
40,1.040000,0.427116
41,1.034000,0.377592
42,1.012000,0.356547
43,1.017000,0.356347
44,1.018000,0.305099
45,1.043000,0.280607
46,1.017000,0.279171
47,1.034000,0.270806
48,1.046000,0.270605
49,1.011000,0.267485
50,1.010000,0.278773
51,0.996000,0.241605
52,1.037000,0.214903
53,1.036000,0.151806
54,0.994000,0.199491
55,1.007000,0.152387
56,1.024000,0.223707
57,0.985000,0.177406
58,1.021000,0.266201
59,0.991000,0.149638
60,0.997000,0.168728
61,1.022000,0.179697
62,1.009000,0.187157
63,0.994000,0.147519
64,0.986000,0.198218
65,0.995000,0.143055
66,1.022000,0.186915
67,0.994000,0.140264
68,0.981000,0.169834
69,1.004000,0.154532
70,0.987000,0.162466
71,1.012000,0.275343
72,1.036000,0.153887
73,1.031000,0.250681
74,1.022000,0.246516
75,1.016000,0.323762
76,1.015000,0.206457
77,1.017000,0.243678
78,0.983000,0.276021
79,1.002000,0.371267
80,1.034000,0.231939
81,1.012000,0.265188
82,1.014000,0.179417
83,1.024000,0.323499
84,1.007000,0.180007
85,0.996000,0.201774
86,0.986000,0.235605
87,1.004000,0.287597
88,1.016000,0.157956
89,0.991000,0.261060
90,1.000000,0.135519
91,1.005000,0.201276
92,0.986000,0.194782
93,1.013000,0.213909
94,0.982000,0.214049
95,1.000000,0.236029
96,1.010000,0.219554
97,1.004000,0.213510
98,0.971000,0.198018
99,0.985000,0.182576
