Integration Number,Time (s),Max Area Error
0,0.209000,159.189798
1,1.104000,79.785294
2,0.315000,30.527569
3,0.355000,13.493656
4,0.458000,8.537344
5,0.505000,4.709144
6,0.486000,2.384197
7,0.490000,1.136635
8,0.460000,0.987650
9,0.379000,0.985914
10,0.335000,0.979187
11,0.279000,0.969496
12,0.271000,0.940656
13,0.257000,0.883643
14,0.240000,0.739664
15,0.234000,0.621032
16,0.238000,0.373692
17,0.241000,0.305780
18,0.226000,0.155302
19,0.233000,0.142691
20,0.230000,0.095244
21,0.230000,0.075349
22,0.238000,0.038509
23,0.233000,0.033408
24,0.236000,0.018321
25,0.233000,0.015812
26,0.234000,0.009137
