Integration Number,Time (s),Max Area Error
0,0.017000,105.523953
1,0.036000,64.529268
2,0.055000,20.942990
3,0.060000,5.857342
4,0.053000,2.475148
5,0.046000,1.535507
6,0.047000,1.247142
7,0.044000,1.097480
8,0.040000,1.050630
9,0.037000,1.037705
10,0.037000,0.929731
11,0.037000,1.002256
12,0.037000,0.797939
13,0.039000,0.918484
14,0.039000,0.744825
15,0.036000,0.887203
16,0.038000,0.715899
17,0.039000,0.896606
18,0.101000,0.562210
19,0.088000,0.516651
20,0.085000,0.444710
21,0.076000,0.378582
22,0.081000,0.311982
23,0.076000,0.319453
24,0.075000,0.224778
25,0.071000,0.283904
26,0.072000,0.213277
27,0.071000,0.252732
28,0.067000,0.211294
29,0.067000,0.189646
30,0.070000,0.178168
31,0.066000,0.157446
32,0.064000,0.148395
33,0.062000,0.124390
34,0.064000,0.123476
35,0.061000,0.102904
36,0.063000,0.102813
37,0.060000,0.083166
38,0.058000,0.085697
39,0.061000,0.068899
40,0.059000,0.071613
41,0.058000,0.056259
42,0.058000,0.060073
43,0.054000,0.046747
44,0.054000,0.050545
45,0.053000,0.038413
46,0.056000,0.043266
47,0.056000,0.031942
48,0.054000,0.036983
49,0.053000,0.026516
50,0.054000,0.031648
51,0.054000,0.022826
52,0.052000,0.027072
53,0.052000,0.019571
54,0.060000,0.023085
55,0.051000,0.016721
56,0.050000,0.019658
57,0.050000,0.014261
58,0.052000,0.016732
59,0.049000,0.012173
60,0.049000,0.014281
61,0.050000,0.010393
62,0.050000,0.012176
63,0.048000,0.008894
