NAME_1,Target Area
Adrar,439693.000000
Aïn Defla,771890.000000
Aïn Témouchent,384565.000000
Alger,2988145.000000
Annaba,640050.000000
Batna,1128030.000000
Béchar,274866.000000
Béjaïa,915835.000000
Biskra,730262.000000
Blida,1009892.000000
Bordj Bou Arréridj,716423.000000
Bouira,695583.000000
Boumerdès,802083.000000
Chlef,1013718.000000
Constantine,943112.000000
Djelfa,1223223.000000
El Bayadh,262187.000000
El Oued,673934.000000
El Tarf,411783.000000
Ghardaïa,375988.000000
Guelma,482430.000000
Illizi,54490.000000
Jijel,636948.000000
Khenchela,386683.000000
Laghouat,477328.000000
M'Sila,991846.000000
Mascara,784073.000000
Médéa,830943.000000
Mila,768419.000000
Mostaganem,746947.000000
Naâma,209470.000000
Oran,1584607.000000
Ouargla,558558.000000
Oum el Bouaghi,644364.000000
Relizane,733060.000000
Saïda,330641.000000
Sétif,1496150.000000
Sidi Bel Abbès,604744.000000
Skikda,904195.000000
Souk Ahras,440299.000000
Tamanghasset,198691.000000
Tébessa,657227.000000
Tiaret,846823.000000
Tindouf,159898.000000
Tipaza,617661.000000
Tissemsilt,296366.000000
Tizi Ouzou,1127608.000000
Tlemcen,949135.000000
