shapeName,Target Area
Espírito Santo,3094325.000000
Rio de Janeiro,17463349.000000
Pará,8777124.000000
Rio Grande do Sul,11466630.000000
Santa Catarina,7338473.000000
Paraná,11597484.000000
São Paulo,46649132.000000
Rio Grande do Norte,3560903.000000
Paraíba,4059905.000000
Ceará,9240580.000000
Piauí,3289290.000000
Pernambuco,9674793.000000
Alagoas,3365351.000000
Sergipe,2338474.000000
Minas Gerais,21411923.000000
Rondônia,1815278.000000
Acre,906876.000000
Roraima,652713.000000
Amapá,877613.000000
Amazonas,4269995.000000
Maranhão,7153262.000000
Mato Grosso,3567234.000000
Mato Grosso do Sul,2839188.000000
Goiás,7206589.000000
Tocantins,1607363.000000
Bahia,14985284.000000
Federal District,4108508.000000
