ADM1_EN,Target Area
Shaanxi Province,39528999.000000
Shanghai Municipality,24870895.000000
Chongqing Municipality,32054159.000000
Zhejiang Province,64567588.000000
Jiangxi Province,45188635.000000
Yunnan Province,47209277.000000
Shandong Province,101527453.000000
Liaoning Province,42591407.000000
Tibet Autonomous Region,3648100.000000
Gansu province,25019831.000000
Hong Kong Special Administrative Region,7496981.000000
Qinghai Province,5923957.000000
Beijing Municipality,21893095.000000
Macao Special Administrative Region,649335.000000
Inner Mongolia Autonomous Region,24049155.000000
Hubei Province,57752557.000000
Anhui Province,61027171.000000
Guizhou Province,38562148.000000
Ningxia Hui Autonomous Region,7202654.000000
Jiangsu Province,84748016.000000
Xinjiang Uygur Autonomous Region,25852345.000000
Shanxi Province,34915616.000000
Hunan Province,66444864.000000
Sichuan Province,83674866.000000
Guangxi Zhuang Autonomous Region,50126804.000000
Jilin Province,24073453.000000
Taiwan Province,23816775.000000
Hebei Province,74610235.000000
Tianjin Municipality,13866009.000000
Guangdong Province,126012510.000000
Fujian Province,41540086.000000
Heilongjiang Province,31850088.000000
Henan Province,99365519.000000
Hainan Province,10081232.000000
