shapeName,Target Area
Mississippi,2961279.000000
North Carolina,10439388.000000
Oklahoma,3959353.000000
Virginia,8631393.000000
West Virginia,1793716.000000
Louisiana,4657757.000000
Michigan,10077331.000000
Massachusetts,7029917.000000
Idaho,1839106.000000
Florida,21538187.000000
Nebraska,1961504.000000
Washington,7705281.000000
New Mexico,2117522.000000
South Dakota,886667.000000
Texas,29145505.000000
California,39538223.000000
Alabama,5024279.000000
Georgia,10711908.000000
Pennsylvania,13002700.000000
Missouri,6154913.000000
Colorado,5773714.000000
Utah,3271616.000000
Tennessee,6910840.000000
Wyoming,576851.000000
New York,20201249.000000
Kansas,2937880.000000
Nevada,3104614.000000
Illinois,12812508.000000
Vermont,643077.000000
Montana,1084225.000000
Iowa,3190369.000000
South Carolina,5118425.000000
New Hampshire,1377529.000000
Arizona,7151502.000000
District of Columbia,689545.000000
New Jersey,9288994.000000
Maryland,6177224.000000
Maine,1362359.000000
Delaware,989948.000000
Rhode Island,1097379.000000
Kentucky,4505836.000000
Ohio,11799448.000000
Wisconsin,5893718.000000
Oregon,4237256.000000
North Dakota,779094.000000
Arkansas,3011524.000000
Indiana,6785528.000000
Minnesota,5706494.000000
Connecticut,3605944.000000
