ZUP_IME,Target Area
Varaždinska,52406.000000
Koprivničko-križevačka,23441.000000
Brodsko-posavska,29941.000000
Vukovarsko-srijemska,27847.000000
Zagrebačka,86276.000000
Osječko-baranjska,56661.000000
Bjelovarsko-bilogorska,21431.000000
Primorsko-goranska,96969.000000
Zadarska,46466.000000
Požeško-slavonska,12229.000000
Ličko-senjska,10209.000000
Istarska,27607.000000
Virovitičko-podravska,13905.000000
Sisačko-moslavačka,33486.000000
Dubrovačko-neretvanska,37304.000000
Međimurska,37318.000000
Krapinsko-zagorska,28472.000000
Karlovačka,27264.000000
Splitsko-dalmatinska,145045.000000
Šibensko-kninska,30932.000000
Grad Zagreb,242426.000000
