ZUP_IME,Target Area
Varaždinska,160264.000000
Koprivničko-križevačka,101661.000000
Brodsko-posavska,130782.000000
Vukovarsko-srijemska,144438.000000
Zagrebačka,301206.000000
Osječko-baranjska,259481.000000
Bjelovarsko-bilogorska,102295.000000
Primorsko-goranska,266503.000000
Zadarska,160340.000000
Požeško-slavonska,64420.000000
Ličko-senjska,42893.000000
Istarska,195794.000000
Virovitičko-podravska,70660.000000
Sisačko-moslavačka,140549.000000
Dubrovačko-neretvanska,115862.000000
Međimurska,105863.000000
Krapinsko-zagorska,120942.000000
Karlovačka,112596.000000
Splitsko-dalmatinska,425412.000000
Šibensko-kninska,96624.000000
Grad Zagreb,769944.000000
