shapeName,Target Area
North Sinai Governorate,450328.000000
South Sinai Governorate,102018.000000
Aswan Governorate,1473975.000000
Red Sea Governorate,359888.000000
Matrouh Governorate,425624.000000
New Valley Governorate,241247.000000
Alexandria Governorate,5163750.000000
Ismailia Governorate,1303993.000000
Suez Governorate,728180.000000
Gharbiyya Governorate,4999633.000000
Faiyum Governorate,3596954.000000
Beni Suef Governorate,3154100.000000
Minya Governate,5497095.000000
Asyut Governorate,4383289.000000
Sohag Governorate,4967409.000000
Qena Governorate,3164281.000000
Luxor Governate,1250209.000000
Giza Governorate,8632021.000000
Monufia Governorate,4301601.000000
Beheira Governorate,6171613.000000
Cairo Governorate,9539673.000000
Qalyubia Governorate,5627420.000000
Dakahlia Governorate,6492381.000000
Damietta Governorate,1496765.000000
Kafr el-Sheikh Governorate,3362185.000000
Port Said Governorate,749371.000000
Al Sharqia Governorate,7163824.000000
