NAME,Target Area
Osaka Prefecture,8837685.000000
Oita,1123852.000000
Hyogo Prefecture,5465002.000000
Fukui Prefecture,766863.000000
Shiga,1413610.000000
Nara Prefecture,1324473.000000
Gifu Prefecture,1978742.000000
Mie Prefecture,1770254.000000
Wakayama Prefecture,922584.000000
Tokyo,14047594.000000
Fukuoka Prefecture,5135214.000000
Saitama,7344765.000000
Fukushima,1833152.000000
Tochigi,1933146.000000
Aomori,1237984.000000
Saga Prefecture,811442.000000
Nagasaki Prefecture,1312317.000000
Miyazaki Prefecture,1069576.000000
Kumamoto,1738301.000000
Kagoshima Prefecture,1588256.000000
Gunma,1939110.000000
Kyoto Prefecture,2578087.000000
Chiba,6284480.000000
Ibaraki,2867009.000000
Kanagawa,9237337.000000
Hiroshima,2799702.000000
Tottori Prefecture,553407.000000
Shimane,671126.000000
Niigata,2201272.000000
Nagano,2048011.000000
Aichi Prefecture,7542415.000000
Yamanashi,809974.000000
Miyagi,2301996.000000
Yamagata,1068027.000000
Akita,959502.000000
Iwate,1210534.000000
Toyama,1034814.000000
Shizuoka,3633202.000000
Ishikawa Prefecture,1132526.000000
Okayama Prefecture,1888432.000000
Tokushima Prefecture,719559.000000
Kochi Prefecture,691527.000000
Ehime Prefecture,1334841.000000
Kagawa Prefecture,950244.000000
Okinawa Prefecture,1467480.000000
Hokkaido,5224614.000000
Yamaguchi,1342059.000000
