shapeName,Target Area
Bouches-du-Rhône,2043110.000000
Meurthe-et-Moselle,733760.000000
Meuse,184083.000000
Haute-Corse,181933.000000
Landes,413690.000000
Finistère,915090.000000
Gard,748437.000000
Métropole de Lyon,1411571.000000
Nièvre,204452.000000
Aube,310242.000000
Aude,374070.000000
Jura,259199.000000
Loire-Atlantique,1429272.000000
Loiret,680434.000000
Lot,174094.000000
Lozère,76604.000000
Hautes-Alpes,141220.000000
Haute-Saône,235313.000000
Haute-Savoie,826094.000000
Hérault,1175623.000000
Ille-et-Vilaine,1079498.000000
Indre,219316.000000
Indre-et-Loire,610079.000000
Isère,1271166.000000
Morbihan,759684.000000
Moselle,1046543.000000
Nord,2608346.000000
Pas-de-Calais,1465278.000000
Ain,652432.000000
Ardèche,328278.000000
Ardennes,270582.000000
Dordogne,413223.000000
Drôme,516762.000000
Essonne,1301659.000000
Eure,599507.000000
Seine-Saint-Denis,1644903.000000
Yonne,335707.000000
Tarn,389844.000000
Var,1076711.000000
Vaucluse,561469.000000
Loir-et-Cher,329470.000000
Lot-et-Garonne,331271.000000
Savoie,436434.000000
Vienne,438435.000000
Paris,2165423.000000
Aisne,531345.000000
Seine-et-Marne,1421197.000000
Seine-Maritime,1255633.000000
Val-d'Oise,1249674.000000
Oise,829419.000000
Orne,279942.000000
Doubs,543974.000000
Eure-et-Loir,431575.000000
Maritime Alps,1094283.000000
Marne,566855.000000
Mayenne,307062.000000
Puy-de-Dôme,662152.000000
Pyrénées-Orientales,479979.000000
Saône-et-Loire,551493.000000
Calvados,694905.000000
Pyrénées-Atlantiques,682621.000000
Val-de-Marne,1407124.000000
Sarthe,566412.000000
Allier,335975.000000
Ariège,153287.000000
Charente,352015.000000
Cher,302306.000000
Corrèze,240073.000000
Côte-d'Or,534124.000000
Côtes-d'Armor,600582.000000
Creuse,116617.000000
Deux-Sèvres,374878.000000
Gers,191377.000000
Gironde,1623749.000000
Haute-Garonne,1400039.000000
Haute-Loire,227570.000000
Haute-Marne,172512.000000
Hautes-Pyrénées,229567.000000
Haute-Vienne,372359.000000
Haut-Rhin,767086.000000
Rhône,464176.000000
Somme,570559.000000
Tarn-et-Garonne,260669.000000
Territoire-de-Belfort,141318.000000
Vosges,364499.000000
Yvelines,1448207.000000
Vendée,685442.000000
Manche,495045.000000
Maine-et-Loire,818273.000000
Alpes-de-Haute-Provence,164308.000000
Aveyron,279595.000000
Bas-Rhin,1140057.000000
Cantal,144692.000000
Loire,765634.000000
Charente-Maritime,651358.000000
Hauts-de-Seine,1624357.000000
South Corsica,158507.000000
