shapeName,Target Area
Ang Mo Kio,174770.000000
Bedok,289750.000000
Bishan,90700.000000
Boon Lay,390.271000
Bukit Batok,139270.000000
Bukit Merah,155840.000000
Bukit Panjang,139030.000000
Bukit Timah,74470.000000
Central Water Catchment,390.271000
Changi,2530.000000
Changi Bay,390.271000
Choa Chu Kang,174330.000000
Clementi,91630.000000
Downtown Core,3720.000000
Geylang,116960.000000
Hougang,222310.000000
Jurong East,84980.000000
Jurong West,272660.000000
Kallang,101210.000000
Lim Chu Kang,390.271000
Mandai,2120.000000
Marina East,390.271000
Marina South,390.271000
Marine Parade,48730.000000
Museum,390.271000
Newton,6920.000000
North-Eastern Islands,390.271000
Novena,47990.000000
Orchard,920.000000
Outram,22080.000000
Pasir Ris,139890.000000
Paya Lebar,390.271000
Pioneer,390.271000
PuunggolL,109750.000000
Queenstown,98050.000000
River Valley,9190.000000
Rochor,14590.000000
Seletar,390.271000
Sembawang,76530.000000
Sengkang,206680.000000
Serangoon,120670.000000
Simpang,390.271000
Singapore River,2720.000000
Southern Islands,1480.000000
Straits View,390.271000
Sungei Kadut,850.000000
Tampines,261230.000000
Tanglin,19000.000000
Tengah,390.271000
Toa Payoh,124940.000000
Tuas,390.271000
Western Islands,390.271000
Western Water Catchment,900.000000
Woodlands,250290.000000
Yishun,201970.000000
