AFFGEOID,Target Area
0500000US20161,71959.000000
0500000US19159,32926.061900
0500000US30009,32926.061900
0500000US16007,32926.061900
0500000US55011,32926.061900
0500000US31185,32926.061900
0500000US08037,55731.000000
0500000US42129,354663.000000
0500000US40079,48129.000000
0500000US48053,49130.000000
0500000US36017,47220.000000
0500000US20109,32926.061900
0500000US47053,50429.000000
0500000US27061,45014.000000
0500000US25017,1632002.000000
0500000US36119,1004457.000000
0500000US46093,32926.061900
0500000US54107,84296.000000
0500000US19021,32926.061900
0500000US47021,41072.000000
0500000US05019,32926.061900
0500000US51105,32926.061900
0500000US27013,69112.000000
0500000US56033,32926.061900
0500000US22087,43764.000000
0500000US19015,32926.061900
0500000US39035,1264817.000000
0500000US45027,32926.061900
0500000US41035,69413.000000
0500000US45015,229861.000000
0500000US25005,579200.000000
0500000US25015,162308.000000
0500000US49025,32926.061900
0500000US37127,94970.000000
0500000US44007,660741.000000
0500000US42111,74129.000000
0500000US45059,67539.000000
0500000US48057,32926.061900
0500000US49017,32926.061900
0500000US48341,32926.061900
0500000US27167,32926.061900
0500000US48185,32926.061900
0500000US05073,32926.061900
0500000US49047,35620.000000
0500000US53043,32926.061900
0500000US25025,797936.000000
0500000US36025,44308.000000
0500000US06059,3186989.000000
0500000US36115,61302.000000
0500000US37043,24332.105564
0500000US06111,843843.000000
0500000US46127,32926.061900
0500000US13021,157346.000000
0500000US41051,815428.000000
0500000US48035,32926.061900
0500000US17017,32926.061900
0500000US13049,32926.061900
0500000US29033,32926.061900
0500000US31157,36084.000000
0500000US26119,32926.061900
0500000US09011,268555.000000
0500000US13283,22081.233581
0500000US37119,1115482.000000
0500000US54043,32926.061900
0500000US45035,161540.000000
0500000US34041,109632.000000
0500000US12095,1429908.000000
0500000US47001,77123.000000
0500000US05021,32926.061900
0500000US24047,52460.000000
0500000US27145,158292.000000
0500000US48471,76400.000000
0500000US24003,588261.000000
0500000US30059,32926.061900
0500000US22053,32926.061900
0500000US22055,241753.000000
0500000US39043,75622.000000
0500000US01033,57227.000000
0500000US38105,40950.000000
0500000US22011,36549.000000
0500000US48407,32926.061900
0500000US13309,32926.061900
0500000US13279,32926.061900
0500000US24033,967201.000000
0500000US29143,32926.061900
0500000US42097,91647.000000
0500000US17129,32926.061900
0500000US12125,27082.168859
0500000US28079,32926.061900
0500000US31091,32926.061900
0500000US41043,128610.000000
0500000US13077,146158.000000
0500000US29087,32926.061900
0500000US10005,237378.000000
0500000US06063,32926.061900
0500000US12069,383956.000000
0500000US42131,32926.061900
0500000US51163,32926.061900
0500000US22113,57359.000000
0500000US51001,33413.000000
0500000US51099,26723.000000
0500000US38037,32926.061900
0500000US18179,32926.061900
0500000US32031,486492.000000
0500000US38035,73170.000000
0500000US19045,46460.000000
0500000US22119,36967.000000
0500000US21093,110702.000000
0500000US22081,32926.061900
0500000US22107,32926.061900
0500000US47173,26595.750506
0500000US51185,40429.000000
0500000US40087,41662.000000
0500000US17109,32926.061900
0500000US27083,32926.061900
0500000US46071,32926.061900
0500000US13153,163633.000000
0500000US42051,128804.000000
0500000US41021,32926.061900
0500000US01051,87977.000000
0500000US05041,32926.061900
0500000US17197,696355.000000
0500000US21119,32926.061900
0500000US13183,32926.061900
0500000US05061,32926.061900
0500000US12127,553543.000000
0500000US21025,32926.061900
0500000US20075,32926.061900
0500000US27139,150928.000000
0500000US27015,32926.061900
0500000US27053,1281565.000000
0500000US42027,158172.000000
0500000US37147,170243.000000
0500000US21017,32172.759954
0500000US45043,63404.000000
0500000US56029,32926.061900
0500000US21183,32926.061900
0500000US23023,36699.000000
0500000US19175,32926.061900
0500000US20149,32926.061900
0500000US19023,32926.061900
0500000US53021,96749.000000
0500000US21007,29982.238707
0500000US45031,62905.000000
0500000US22031,32926.061900
