NAME_1,Target Area
An Giang,1908352.000000
Bà Rịa - Vũng Tàu,1148313.000000
Bắc Giang,1803950.000000
Bắc Kạn,313905.000000
Bạc Liêu,907236.000000
Bắc Ninh,1368840.000000
Bến Tre,1288463.000000
Bình Định,2426561.000000
Bình Dương,1248415.000000
Bình Phước,994679.000000
Bình Thuận,1230808.000000
Cà Mau,1194476.000000
Cần Thơ,1235171.000000
Cao Bằng,530341.000000
Đà Nẵng,622168.000000
Đắk Lắk,1869322.000000
Đắk Nông,1134310.000000
Điện Biên,598856.000000
Đồng Nai,3097107.000000
Đồng Tháp,1599504.000000
Gia Lai,1513847.000000
Hà Giang,854679.000000
Hà Nam,852800.000000
Hà Nội,8053663.000000
Hà Tĩnh,1288866.000000
Hải Dương,1892254.000000
Hải Phòng,2028514.000000
Hậu Giang,733017.000000
Hồ Chí Minh,8993082.000000
Hoà Bình,854131.000000
Hưng Yên,1134310.000000
Khánh Hòa,1231107.000000
Kiên Giang,1723067.000000
Kon Tum,540438.000000
Lai Châu,460196.000000
Lâm Đồng,1296906.000000
Lạng Sơn,781655.000000
Lào Cai,730420.000000
Long An,1688547.000000
Nam Định,1780393.000000
Nghệ An,3327791.000000
Ninh Bình,982487.000000
Ninh Thuận,590467.000000
Phú Thọ,1463726.000000
Phú Yên,872964.000000
Quảng Bình,895430.000000
Quảng Nam,1495812.000000
Quảng Ngãi,1231697.000000
Quảng Ninh,1320324.000000
Quảng Trị,632375.000000
Sóc Trăng,1199653.000000
Sơn La,1248415.000000
Tây Ninh,1169165.000000
Thái Bình,1860447.000000
Thái Nguyên,1286751.000000
Thanh Hóa,3640128.000000
Thừa Thiên Huế,1128620.000000
Tiền Giang,1764185.000000
Trà Vinh,1009168.000000
Tuyên Quang,784811.000000
Vĩnh Long,1022791.000000
Vĩnh Phúc,1151154.000000
Yên Bái,821030.000000
