map_name,frechet distance,hausdorff distance,symmetric difference
algeria_population_by_wilaya_2022_input.geojson,0.934792,0.501379,0.97066
australia_population_by_state_and_territory_2021_input.geojson,0.524192,0.259133,0.563542
austria_population_by_state_2020_input.geojson,0.296781,0.22003,0.501715
bahamas_population_by_district_2010_input.geojson,1.23045,0.57739,1.1212
belgium_population_by_region_2022_input.geojson,0.325184,0.213421,0.350928
brazil_population_by_state_2021_input.geojson,0.599914,0.368603,0.707555
china_population_by_province_2020_input.geojson,0.549129,0.314369,0.67897
conterminous_usa_population_by_state_2020_input.geojson,0.479651,0.307485,0.580305
croatia_covid_cases_by_county_2022_input.geojson,0.464086,0.267717,0.592601
croatia_population_by_county_2021_input.geojson,0.385966,0.247292,0.524738
csv_ne50_antimeridian_minus169_brewer_pop_input.geojson,1.62302,0.521711,0.837738
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop_input.geojson,0.886076,0.461833,0.782781
egypt_population_by_governate_2017_input.geojson,1.47662,0.491421,0.904518
england_population_by_region_2022_input.geojson,0.254712,0.188557,0.364474
france_population_by_metropolitan_region_2008_input.geojson,0.312133,0.221868,0.406167
germany_population_by_state_2011_input.geojson,0.25099,0.219229,0.468848
indonesia_population_by_province_2024_input.geojson,0.687141,0.382029,0.789518
japan_population_by_prefecture_2020_input.geojson,0.587769,0.326171,0.731264
malaysia_population_by_state_2020_input.geojson,0.549001,0.350054,0.628724
metropolitan_france_population_by_departement_2022_input.geojson,0.511035,0.306438,0.599497
NUTS_population_by_country_2021_input.geojson,0.328375,0.226385,0.50252
NUTS_population_by_region_2020_input.geojson,0.723876,0.42888,0.781216
russia_population_by_federal_subject_2010_input.geojson,0.958877,0.440465,0.925769
simplified_belgium_population_by_region_2022_input.geojson,0.45102,0.214037,0.345883
singapore_population_by_planning_area_2015_input.geojson,3.57707,0.704696,0.793645
switzerland_gdp_in_billion_chf_by_canton_2019_input.geojson,0.679705,0.369395,0.784296
switzerland_population_by_canton_2016_input.geojson,0.509393,0.330175,0.693259
tunisia_population_by_governate_2014_input.geojson,0.581122,0.368827,0.726115
usa_population_by_county_2021_input.geojson,1.07265,0.528266,0.860844
usa_population_by_state_2020_input.geojson,0.623618,0.33022,0.637101
vietnam_population_by_province_2019_input.geojson,0.436855,0.288079,0.610064
world_population_by_country_2010_input.geojson,0.894478,0.480546,0.814323
