map_name,frechet distance,hausdorff distance,symmetric difference
bahamas_population_by_district_2010_input.geojson,1.29067,0.517949,0.480585
china_population_by_province_2020_input.geojson,1.15278,0.31073,0.654473
csv_ne50_antimeridian_minus169_brewer_pop_input.geojson,1.25409,0.400311,0.632428
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop_input.geojson,1.28686,0.403776,0.623258
egypt_population_by_governate_2017_input.geojson,1.24598,0.475372,0.872957
NUTS_population_by_country_2021_input.geojson,1.03478,0.260419,0.742187
NUTS_population_by_region_2020_input.geojson,1.09225,0.343246,0.648286
russia_population_by_federal_subject_2010_input.geojson,1.21976,0.371376,0.60425
singapore_population_by_planning_area_2015_input.geojson,1.65616,0.369428,0.893482
usa_population_by_county_2021_input.geojson,1.25575,0.385988,0.592976
usa_population_by_state_2020_input.geojson,1.06532,0.309613,0.690867
world_population_by_country_2010_input.geojson,1.20708,0.384596,0.622137
