map_name,self-intersections,overlap intersections
NUTS_population_by_country_2021_9.geojson,0,123
NUTS_population_by_country_2021_cartogram.geojson,0,0
NUTS_population_by_region_2020_9.geojson,0,375
NUTS_population_by_region_2020_cartogram.geojson,0,0
algeria_population_by_wilaya_2022_5.geojson,0,212
algeria_population_by_wilaya_2022_cartogram.geojson,0,0
australia_population_by_state_and_territory_2021_2.geojson,0,8
australia_population_by_state_and_territory_2021_cartogram.geojson,0,0
austria_population_by_state_2020_4.geojson,0,46
austria_population_by_state_2020_cartogram.geojson,0,0
bahamas_population_by_district_2010_9.geojson,0,7
bahamas_population_by_district_2010_cartogram.geojson,0,0
belgium_population_by_region_2022_2.geojson,0,8
belgium_population_by_region_2022_cartogram.geojson,0,0
brazil_population_by_state_2021_4.geojson,0,79
brazil_population_by_state_2021_cartogram.geojson,0,0
china_population_by_province_2020_9.geojson,0,260
china_population_by_province_2020_cartogram.geojson,0,0
concentric_circles_3.geojson,0,13
concentric_circles_cartogram.geojson,0,0
conterminous_usa_population_by_state_2020_4.geojson,0,96
conterminous_usa_population_by_state_2020_cartogram.geojson,0,0
croatia_covid_cases_by_county_2022_3.geojson,0,42
croatia_covid_cases_by_county_2022_cartogram.geojson,0,0
croatia_population_by_county_2021_6.geojson,0,110
croatia_population_by_county_2021_cartogram.geojson,0,0
csv_ne50_antimeridian_minus169_brewer_pop_9.geojson,0,95
csv_ne50_antimeridian_minus169_brewer_pop_cartogram.geojson,0,0
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop_9.geojson,0,93
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop_cartogram.geojson,0,0
egypt_population_by_governate_2017_9.geojson,0,621
egypt_population_by_governate_2017_cartogram.geojson,0,0
england_population_by_region_2022_2.geojson,0,15
england_population_by_region_2022_cartogram.geojson,0,0
france_population_by_metropolitan_region_2008_2.geojson,0,35
france_population_by_metropolitan_region_2008_cartogram.geojson,0,0
germany_population_by_state_2011_6.geojson,0,135
germany_population_by_state_2011_cartogram.geojson,0,0
indonesia_population_by_province_2024_6.geojson,0,41
indonesia_population_by_province_2024_cartogram.geojson,0,0
japan_population_by_prefecture_2020_3.geojson,0,24
japan_population_by_prefecture_2020_cartogram.geojson,0,0
malaysia_population_by_state_2020_6.geojson,0,35
malaysia_population_by_state_2020_cartogram.geojson,0,0
metropolitan_france_population_by_departement_2022_3.geojson,0,138
metropolitan_france_population_by_departement_2022_cartogram.geojson,0,0
russia_population_by_federal_subject_2010_9.geojson,0,389
russia_population_by_federal_subject_2010_cartogram.geojson,0,0
simplified_belgium_population_by_region_2022_2.geojson,0,13
simplified_belgium_population_by_region_2022_cartogram.geojson,0,0
singapore_population_by_planning_area_2015_9.geojson,0,483
singapore_population_by_planning_area_2015_cartogram.geojson,0,0
switzerland_gdp_in_billion_chf_by_canton_2019_4.geojson,0,91
switzerland_gdp_in_billion_chf_by_canton_2019_cartogram.geojson,0,0
switzerland_population_by_canton_2016_5.geojson,0,137
switzerland_population_by_canton_2016_cartogram.geojson,0,0
tunisia_population_by_governate_2014_3.geojson,0,37
tunisia_population_by_governate_2014_cartogram.geojson,0,0
usa_population_by_county_2021_9.geojson,0,3434
usa_population_by_county_2021_cartogram.geojson,0,0
usa_population_by_state_2020_9.geojson,0,227
usa_population_by_state_2020_cartogram.geojson,0,0
vietnam_population_by_province_2019_2.geojson,0,27
vietnam_population_by_province_2019_cartogram.geojson,0,0
world_population_by_country_2010_9.geojson,0,118
world_population_by_country_2010_cartogram.geojson,0,0
