mapname,F4Carto_n_iter,5FCarto_n_defeated,flow_based_n_defeated,F4Carto_min_relative_area_error_reached,5FCarto_max_relative_area_error_at_n,flow_based_max_relative_area_error_at_n,F4Carto_time,5FCarto_time_at_n,flow_based_time_at_n,5FCarto_final_error,flow_based_final_error,5FCarto_total_time,flow_based_total_time
algeria_population_by_wilaya_2022,6,7,7,0.302338,0.097552,0.100632,1.6304,1.782,2.155,0.007443,0.008039,1.957,2.425
australia_population_by_state_and_territory_2021,3,2,2,0.845114,0.646879,0.647723,0.2021,0.21700000000000003,0.503,0.003632,0.00354,0.653,1.63
austria_population_by_state_2020,5,2,2,0.438313,0.157949,0.160302,0.2493,0.35000000000000003,0.323,0.006721,0.002014,0.7909999999999999,0.778
bahamas_population_by_district_2010,10,4,4,6.27002,5.629396,6.131872,1.7667,0.42999999999999994,1.04,0.006807,0.006634,0.9620000000000001,2.2270000000000003
belgium_population_by_region_2022,3,1,1,0.378991,0.227539,0.227478,0.1174,0.269,0.277,0.0079,0.007075,1.5110000000000001,0.797
brazil_population_by_state_2021,5,4,4,0.313994,0.208232,0.212629,0.6868,0.6489999999999999,1.461,0.009077,0.008678,0.9519999999999997,2.233
china_population_by_province_2020,10,3,3,0.975881,0.811439,0.739036,1.5859999999999999,0.613,1.161,0.0089,0.005797,1.0849999999999997,2.539
conterminous_usa_population_by_state_2020,5,3,3,0.437851,0.157287,0.237802,0.5644,0.30500000000000005,0.375,0.008303,0.006388,0.6280000000000001,0.8419999999999999
croatia_covid_cases_by_county_2022,4,2,2,0.261069,0.161194,0.16174,0.44510000000000005,0.156,0.13699999999999998,0.00704,0.009981,0.764,0.324
croatia_population_by_county_2021,7,2,2,0.293127,0.119311,0.121068,0.7443,0.135,0.12,0.009118,0.009264,0.923,0.355
csv_ne50_antimeridian_minus169_brewer_pop,10,3,3,229.92,186.154063,187.177897,4.5073,1.663,3.4530000000000003,0.009857,0.008845,16.208000000000002,17.874000000000002
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop,10,3,3,27.2867,14.181747,14.645099,3.7027,1.4020000000000001,3.054,0.009299,0.008753,9.004999999999999,16.340999999999998
egypt_population_by_governate_2017,10,10,10,0.697803,0.333643,0.333295,2.1414999999999997,2.749,2.14,0.004313,0.005575,3.183,2.4520000000000004
england_population_by_region_2022,3,1,1,0.547634,0.293113,0.293033,0.3812,0.208,1.795,0.005833,0.005838,0.6429999999999999,6.558
france_population_by_metropolitan_region_2008,3,1,1,0.478437,0.221463,0.221567,0.30410000000000004,0.255,0.377,0.004311,0.004331,1.1159999999999999,1.8319999999999999
germany_population_by_state_2011,7,4,4,0.431163,0.183111,0.192569,0.5748,0.452,0.368,0.004051,0.004134,0.751,0.503
indonesia_population_by_province_2024,7,3,3,0.97834,0.517741,0.543845,0.5109,0.21300000000000002,0.158,0.008745,0.008958,0.42999999999999994,0.22000000000000003
japan_population_by_prefecture_2020,4,4,4,0.305837,0.096934,0.103167,0.34730000000000005,0.27,0.22,0.009929,0.006959,0.479,0.40600000000000014
malaysia_population_by_state_2020,7,2,2,0.543689,0.328715,0.331266,0.1942,0.201,0.181,0.008795,0.006374,0.423,0.4349999999999999
metropolitan_france_population_by_departement_2022,4,4,4,0.26005,0.178246,0.173763,1.1002,0.5459999999999999,0.8940000000000001,0.009513,0.009214,0.773,1.403
NUTS_population_by_country_2021,10,5,5,0.417461,0.258498,0.254269,1.1555000000000002,0.49400000000000005,0.2,0.009927,0.008885,1.154,0.4790000000000002
NUTS_population_by_region_2020,10,3,3,16.5015,7.215454,6.138218,2.0586,0.28099999999999997,0.181,0.008989,0.008951,5.933,3.6410000000000013
russia_population_by_federal_subject_2010,10,7,7,3.30001,2.915548,2.883751,2.5435,1.3820000000000001,1.4689999999999999,0.00732,0.009068,2.3840000000000003,2.4510000000000005
simplified_belgium_population_by_region_2022,3,2,2,0.222895,0.024449,0.206024,0.0588,0.089,0.087,0.001704,0.009201,0.201,0.12799999999999997
singapore_population_by_planning_area_2015,10,5,6,29.7191,24.234922,17.659353,2.1097000000000006,0.6759999999999999,0.572,0.00899,0.182576,3.3640000000000017,76.68900000000001
switzerland_gdp_in_billion_chf_by_canton_2019,5,4,4,0.339314,0.179769,0.180416,0.6243,0.613,0.499,0.008777,0.008631,0.9409999999999998,0.7470000000000001
switzerland_population_by_canton_2016,6,2,2,0.403295,0.309139,0.311707,0.7555,0.29400000000000004,0.248,0.0097,0.007815,0.673,0.665
tunisia_population_by_governate_2014,4,3,3,0.383624,0.143921,0.151826,0.3274,0.408,0.336,0.007398,0.008937,0.5760000000000001,0.46199999999999997
usa_population_by_county_2021,10,7,8,6.91642,5.638105,6.45105,10.8397,4.132,1.8630000000000002,0.008898,1.151492,101.24300000000002,1122.0639999999992
usa_population_by_state_2020,10,3,3,1.37119,0.682379,0.678998,1.3568,0.314,0.37600000000000006,0.008745,0.008802,0.6050000000000001,0.6980000000000002
vietnam_population_by_province_2019,3,3,3,0.279383,0.106181,0.106015,0.3382,0.22599999999999998,0.238,0.007925,0.008785,0.44399999999999984,0.4489999999999999
world_population_by_country_2010,10,2,2,32.7755,29.689967,30.527569,3.0237,1.064,1.6280000000000001,0.009999,0.009137,6.369,8.949000000000002
