mapname,F4Carto_min_relative_area_error_reached,F4Carto_n_iter,5FCarto_min_relative_area_error_reached,5FCarto_n_iter,flow_based_min_relative_area_error_reached,flow_based_n_iter
algeria_population_by_wilaya_2022,0.224776,34,3.907985046680551e-14,99,2.220446049250313e-15,88
australia_population_by_state_and_territory_2021,0.554882,17,7.66053886991358e-15,80,1.9984014443252818e-15,97
austria_population_by_state_2020,0.0853007,78,3.6637359812630166e-15,75,8.881784197001252e-16,45
bahamas_population_by_district_2010,1.01236,100,2.83995049699115e-13,83,2.9198865547641623e-14,67
belgium_population_by_region_2022,0.0070389,51,4.440892098500626e-16,72,2.220446049250313e-16,37
brazil_population_by_state_2021,0.211295,27,4.218847493575595e-15,96,2.997602166487923e-15,94
china_population_by_province_2020,0.784266,21,2.557953848736361e-13,72,2.442490654175344e-15,94
conterminous_usa_population_by_state_2020,0.0299123,87,1.3655743202889432e-14,79,6.661338147750939e-15,42
croatia_covid_cases_by_county_2022,0.0156588,100,1.598721155460225e-14,70,3.552713678800501e-15,47
croatia_population_by_county_2021,0.0116063,100,7.438494264988549e-15,88,2.442490654175344e-15,67
csv_ne50_antimeridian_minus169_brewer_pop,56.69,100,6.68094468636582e-11,96,1.636468738297481e-13,97
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop,7.17588,96,2.022246814448181e-10,99,8.637535131583719e-14,97
egypt_population_by_governate_2017,0.199794,100,2.464695114667848e-14,95,1.9984014443252818e-15,75
england_population_by_region_2022,0.148786,20,8.881784197001252e-15,70,3.552713678800501e-15,42
france_population_by_metropolitan_region_2008,0.0104931,100,6.661338147750939e-16,79,1.332267629550188e-15,47
germany_population_by_state_2011,0.149993,93,1.110223024625157e-15,58,1.221245327087672e-15,90
indonesia_population_by_province_2024,0.164449,100,7.549516567451064e-15,74,9.992007221626407e-15,73
japan_population_by_prefecture_2020,0.10768,79,2.2870594307278222e-14,54,1.3988810110276971e-14,70
malaysia_population_by_state_2020,0.0545457,100,3.441691376337985e-15,92,3.552713678800501e-15,38
metropolitan_france_population_by_departement_2022,0.211913,82,4.551914400963142e-15,96,5.218048215738236e-15,93
NUTS_population_by_country_2021,0.186954,97,6.785683126508958e-13,90,2.51909604287448e-13,95
NUTS_population_by_region_2020,1.68921,26,3.4843794516348225e-11,93,9.91935422689494e-11,99
russia_population_by_federal_subject_2010,1.09915,24,3.26405569239796e-14,99,3.3750779948604765e-14,97
simplified_belgium_population_by_region_2022,0.00785074,74,2.220446049250313e-16,38,8.881784197001252e-16,22
singapore_population_by_planning_area_2015,5.28365,48,2.4913404672588513e-13,91,0.7747048816823643,87
switzerland_gdp_in_billion_chf_by_canton_2019,0.027815,100,1.2843059948863809e-12,79,1.532107773982716e-14,54
switzerland_population_by_canton_2016,0.021864,69,7.860379014346108e-14,37,4.107825191113079e-15,47
tunisia_population_by_governate_2014,0.0138493,97,3.108624468950438e-15,92,8.881784197001252e-16,88
usa_population_by_county_2021,4.04647,87,7.135854662720932e-8,82,8.01403581034501,66
usa_population_by_state_2020,0.215729,100,3.497202527569243e-14,82,1.4654943925052073e-14,49
vietnam_population_by_province_2019,0.122838,49,5.551115123125783e-15,62,6.661338147750939e-15,98
world_population_by_country_2010,7.25603,100,7.630363008104267e-11,90,5.306866057708248e-14,99
